到课率,习题正确率,预习率,成绩
1.000 ,0.692 ,0.772 ,81
1.000 ,0.564 ,0.669 ,77
1.000 ,0.487 ,0.779 ,75
1.000 ,0.769 ,0.338 ,86
1.000 ,0.641 ,0.500 ,76
0.920 ,0.256 ,0.507 ,63
0.920 ,0.410 ,0.449 ,72
1.000 ,0.513 ,0.699 ,76
1.000 ,0.538 ,0.390 ,74
1.000 ,0.744 ,0.338 ,83
0.620 ,0.308 ,0.375 ,67
1.000 ,0.590 ,0.632 ,80
1.000 ,0.282 ,0.647 ,66
0.770 ,0.359 ,0.537 ,61
1.000 ,0.590 ,0.603 ,70
1.000 ,0.590 ,0.581 ,73
0.920 ,0.538 ,0.493 ,78
0.690 ,0.513 ,0.257 ,60
1.000 ,0.641 ,0.765 ,79
1.000 ,0.821 ,0.949 ,83
0.920 ,0.692 ,0.596 ,84
1.000 ,0.538 ,0.632 ,75
0.850 ,0.256 ,0.610 ,59
1.000 ,0.590 ,0.654 ,73
1.000 ,0.718 ,0.699 ,91
1.000 ,0.795 ,0.779 ,87
1.000 ,0.769 ,0.809 ,92
1.000 ,0.513 ,0.757 ,84
1.000 ,0.846 ,0.963 ,87
1.000 ,0.769 ,0.588 ,89
1.000 ,0.744 ,0.801 ,90
1.000 ,0.538 ,0.831 ,78
1.000 ,0.538 ,0.559 ,81
1.000 ,0.641 ,0.750 ,81
1.000 ,0.795 ,0.971 ,81
0.870 ,0.162 ,0.407 ,69
0.930 ,0.162 ,0.650 ,74
0.930 ,0.622 ,0.870 ,79
0.930 ,0.189 ,0.691 ,65
0.730 ,0.568 ,0.740 ,71
0.930 ,0.270 ,0.553 ,76
0.800 ,0.351 ,0.764 ,77
0.930 ,0.378 ,0.805 ,65
0.930 ,0.216 ,0.699 ,75
0.930 ,0.324 ,1.000 ,67
0.870 ,0.216 ,0.854 ,72
0.870 ,0.811 ,0.902 ,81
0.730 ,0.081 ,0.675 ,66
0.930 ,0.324 ,0.894 ,76
0.130 ,0.243 ,0.715 ,59
0.600 ,0.216 ,0.894 ,59
0.730 ,0.189 ,0.854 ,66
0.800 ,0.297 ,0.854 ,75
0.930 ,0.595 ,0.740 ,88
0.930 ,0.243 ,0.683 ,79
0.930 ,0.378 ,0.878 ,81
0.930 ,0.324 ,1.000 ,77
0.930 ,0.865 ,1.000 ,86
0.930 ,0.595 ,0.821 ,80
0.870 ,0.324 ,0.951 ,85
0.870 ,0.459 ,0.854 ,70
0.200 ,0.189 ,0.366 ,59
0.930 ,0.541 ,0.935 ,81
0.130 ,0.081 ,0.130 ,59
0.930 ,0.486 ,0.821 ,82
0.870 ,0.486 ,0.309 ,62
0.930 ,0.649 ,0.805 ,79
0.870 ,0.351 ,0.902 ,79
0.800 ,0.189 ,0.447 ,63
0.870 ,0.405 ,1.000 ,73
0.870 ,0.378 ,0.748 ,72
0.930 ,0.459 ,0.724 ,79
0.930 ,0.676 ,0.902 ,76
0.930 ,0.568 ,0.919 ,74
0.670 ,0.324 ,0.496 ,60
0.930 ,0.622 ,0.732 ,77
0.930 ,0.459 ,0.935 ,84
0.870 ,0.568 ,0.659 ,77
0.870 ,0.432 ,0.756 ,82
0.930 ,0.703 ,0.797 ,79
0.870 ,0.568 ,0.886 ,78
0.800 ,0.405 ,0.301 ,60
0.930 ,0.297 ,0.683 ,75
0.870 ,0.297 ,0.683 ,83
0.800 ,0.432 ,0.797 ,69
0.870 ,0.514 ,0.902 ,73
0.870 ,0.622 ,0.959 ,73
0.930 ,0.622 ,0.699 ,82
0.730 ,0.189 ,0.569 ,60
0.930 ,0.486 ,0.837 ,76
0.930 ,0.568 ,0.846 ,78
0.930 ,0.757 ,0.707 ,79
0.930 ,0.649 ,0.577 ,80
0.930 ,0.405 ,0.854 ,73
0.930 ,0.459 ,0.886 ,75
0.930 ,0.324 ,0.504 ,78
0.930 ,0.568 ,0.854 ,90
0.930 ,0.622 ,0.837 ,89
0.870 ,0.351 ,0.813 ,74
0.930 ,0.568 ,0.951 ,76
0.870 ,0.784 ,0.878 ,84
0.870 ,0.459 ,0.675 ,85
0.870 ,0.216 ,0.423 ,69
0.930 ,0.514 ,0.846 ,83
1.000 ,0.417 ,0.010 ,77
0.920 ,0.333 ,0.080 ,85
1.000 ,0.250 ,0.014 ,81
0.920 ,0.417 ,0.154 ,82
1.000 ,0.250 ,0.039 ,90
0.920 ,0.167 ,0.156 ,81
0.920 ,0.250 ,0.033 ,83
0.920 ,0.083 ,0.109 ,85
0.920 ,0.333 ,0.084 ,78
0.920 ,0.583 ,0.162 ,82
0.920 ,0.500 ,0.010 ,79
1.000 ,0.333 ,0.262 ,89
1.000 ,0.167 ,0.055 ,86
0.830 ,0.083 ,0.346 ,61
0.920 ,0.167 ,0.049 ,81
1.000 ,0.500 ,0.053 ,80
0.920 ,0.167 ,0.072 ,73
1.000 ,0.417 ,0.129 ,78
0.750 ,0.000 ,0.023 ,76
0.750 ,0.000 ,0.031 ,87
0.920 ,0.167 ,0.096 ,78
1.000 ,0.333 ,0.063 ,81
1.000 ,0.417 ,0.609 ,84
0.920 ,0.167 ,0.283 ,80
0.920 ,0.000 ,0.139 ,85
0.920 ,0.250 ,0.119 ,78
0.920 ,0.250 ,0.217 ,90
0.920 ,0.333 ,0.160 ,80
0.920 ,0.167 ,0.061 ,86
1.000 ,0.083 ,0.219 ,83
1.000 ,0.250 ,0.010 ,78
1.000 ,0.250 ,0.109 ,85
1.000 ,0.333 ,0.061 ,92
0.920 ,0.167 ,0.000 ,88
1.000 ,0.083 ,0.217 ,86
1.000 ,0.333 ,0.041 ,91
1.000 ,0.250 ,0.000 ,81
0.920 ,0.333 ,0.203 ,90
0.920 ,0.417 ,0.066 ,84
0.920 ,0.417 ,0.176 ,87
1.000 ,0.417 ,0.234 ,90
1.000 ,0.500 ,0.178 ,88
1.000 ,0.417 ,0.008 ,80
1.000 ,0.000 ,0.283 ,87
0.920 ,0.083 ,0.043 ,71
1.000 ,0.250 ,0.113 ,90
1.000 ,0.667 ,0.410 ,79
0.920 ,0.000 ,0.057 ,72
1.000 ,0.250 ,0.254 ,72
0.830 ,0.083 ,0.455 ,65
1.000 ,0.083 ,0.078 ,85
0.920 ,0.333 ,0.359 ,82
0.830 ,0.167 ,0.020 ,85
0.920 ,0.250 ,0.029 ,85
0.920 ,0.667 ,0.980 ,87
1.000 ,0.417 ,0.455 ,87
1.000 ,0.333 ,0.301 ,88
0.920 ,0.167 ,0.295 ,74
1.000 ,0.417 ,0.324 ,85
0.670 ,0.167 ,0.254 ,78
1.000 ,0.250 ,0.252 ,80
1.000 ,0.250 ,0.910 ,90
1.000 ,0.250 ,0.023 ,85
0.360 ,0.167 ,0.023 ,75
1.000 ,0.333 ,0.623 ,85
0.910 ,0.417 ,0.248 ,90
0.910 ,0.500 ,0.229 ,81
0.910 ,0.417 ,0.020 ,88
1.000 ,0.667 ,0.715 ,90
0.910 ,0.250 ,0.137 ,86
0.730 ,0.083 ,0.543 ,80
0.910 ,0.583 ,0.227 ,89
0.910 ,0.250 ,0.002 ,75
1.000 ,0.333 ,0.172 ,91
0.910 ,0.250 ,0.000 ,81
0.910 ,0.417 ,0.793 ,87
0.820 ,0.417 ,0.471 ,85
0.910 ,0.417 ,0.021 ,64
0.820 ,0.250 ,0.027 ,88
0.820 ,0.250 ,0.047 ,88
0.820 ,0.083 ,0.039 ,83
0.910 ,0.417 ,0.176 ,83
0.910 ,0.417 ,0.869 ,89
0.640 ,0.167 ,0.006 ,80
0.820 ,0.250 ,0.045 ,84
1.000 ,0.500 ,0.010 ,91
1.000 ,0.667 ,0.439 ,88
0.910 ,0.083 ,0.000 ,71
0.910 ,0.167 ,0.012 ,86
1.000 ,0.417 ,0.072 ,92
0.910 ,0.083 ,0.000 ,80
0.910 ,0.333 ,0.193 ,77
0.910 ,0.417 ,0.039 ,86
0.910 ,0.417 ,0.104 ,85
1.000 ,0.417 ,0.068 ,90
0.910 ,0.417 ,0.301 ,88
0.910 ,0.250 ,0.842 ,85
0.910 ,0.167 ,0.113 ,86
0.910 ,0.500 ,0.982 ,92
0.910 ,0.250 ,0.121 ,91
0.910 ,0.250 ,0.039 ,83
0.910 ,0.333 ,0.004 ,91
0.820 ,0.333 ,0.010 ,86
0.910 ,0.250 ,0.133 ,88
0.910 ,0.333 ,0.213 ,88
0.910 ,0.333 ,0.170 ,87
0.730 ,0.083 ,0.766 ,84
0.910 ,0.250 ,0.256 ,82
0.910 ,0.417 ,0.035 ,89
0.910 ,0.250 ,0.199 ,86
0.880 ,0.167 ,0.000 ,81
0.750 ,0.167 ,0.131 ,71
0.750 ,0.667 ,0.103 ,72
0.880 ,0.333 ,0.159 ,84
0.880 ,0.667 ,0.567 ,83
0.880 ,0.333 ,0.706 ,84
0.750 ,0.500 ,0.599 ,70
0.880 ,0.167 ,0.000 ,77
0.880 ,0.667 ,0.607 ,83
0.880 ,0.833 ,0.067 ,81
0.750 ,0.167 ,0.000 ,69
0.880 ,0.000 ,0.008 ,67
0.000 ,0.000 ,0.000 ,59
0.880 ,0.167 ,0.000 ,89
0.750 ,0.667 ,0.063 ,82
0.880 ,0.333 ,0.008 ,87
0.880 ,0.333 ,0.008 ,70
0.750 ,0.167 ,0.000 ,86
0.750 ,0.500 ,0.095 ,73
0.880 ,0.167 ,0.000 ,86
0.880 ,0.333 ,0.044 ,85
0.880 ,0.333 ,0.012 ,78
0.880 ,0.167 ,0.000 ,83
0.880 ,0.333 ,0.000 ,82
0.880 ,0.333 ,0.000 ,79
0.880 ,0.167 ,0.056 ,79
0.880 ,0.167 ,0.012 ,75
0.750 ,0.167 ,0.115 ,72
0.880 ,0.333 ,0.020 ,88
0.880 ,0.167 ,0.222 ,79
0.880 ,0.333 ,0.079 ,86
0.880 ,0.500 ,0.163 ,86
0.880 ,0.333 ,0.714 ,88
0.880 ,0.333 ,0.155 ,81
0.880 ,0.000 ,0.060 ,64
0.880 ,0.500 ,0.000 ,76
0.880 ,0.000 ,0.000 ,76
0.620 ,0.333 ,0.000 ,61
0.880 ,0.167 ,0.258 ,77
0.880 ,0.167 ,0.000 ,64
0.880 ,0.167 ,0.087 ,68
0.880 ,0.333 ,0.083 ,72
0.880 ,0.000 ,0.004 ,81
0.880 ,0.333 ,0.000 ,80
0.880 ,0.000 ,0.000 ,84
0.000 ,0.000 ,0.000 ,59
0.880 ,0.167 ,0.071 ,86
0.750 ,0.167 ,0.012 ,82
0.880 ,0.167 ,0.242 ,92
0.750 ,0.000 ,0.000 ,86
0.880 ,0.167 ,0.008 ,84
0.880 ,0.167 ,0.000 ,82
0.880 ,0.333 ,0.000 ,91
0.860 ,0.167 ,0.056 ,78
0.860 ,0.167 ,0.028 ,74
0.860 ,0.000 ,0.000 ,81
1.000 ,0.833 ,0.774 ,82
0.860 ,0.333 ,0.099 ,70
0.860 ,0.167 ,0.020 ,78
0.860 ,0.000 ,0.000 ,81
0.570 ,0.167 ,0.024 ,61
0.860 ,0.167 ,0.004 ,85
0.860 ,0.167 ,0.004 ,79
0.860 ,0.167 ,0.000 ,80
0.860 ,0.333 ,0.056 ,80
1.000 ,0.167 ,0.004 ,80
1.000 ,0.500 ,0.488 ,80
1.000 ,0.667 ,0.516 ,81
0.860 ,0.500 ,0.500 ,85
1.000 ,0.333 ,0.028 ,89
0.860 ,0.000 ,0.004 ,74
0.860 ,0.500 ,0.048 ,80
0.860 ,0.000 ,0.067 ,78
0.860 ,0.167 ,0.103 ,84
0.860 ,0.667 ,0.024 ,84
0.860 ,0.000 ,0.056 ,81
0.860 ,0.500 ,0.214 ,84
1.000 ,0.000 ,0.004 ,85
0.710 ,0.000 ,0.000 ,61
0.860 ,0.167 ,0.000 ,78
0.860 ,0.333 ,0.008 ,82
0.860 ,0.000 ,0.008 ,76
0.860 ,0.167 ,0.012 ,87
0.860 ,0.333 ,0.028 ,79
0.570 ,0.333 ,0.000 ,60
0.860 ,0.000 ,0.000 ,81
1.000 ,0.167 ,0.000 ,83
0.860 ,0.000 ,0.004 ,77
1.000 ,0.167 ,0.016 ,85
0.710 ,0.333 ,0.020 ,74
0.860 ,0.167 ,0.024 ,87
0.860 ,0.167 ,0.067 ,66
0.860 ,0.000 ,0.163 ,83
0.860 ,0.333 ,0.040 ,82
0.860 ,0.167 ,0.000 ,78
1.000 ,0.833 ,0.472 ,86
0.860 ,0.167 ,0.127 ,81
0.860 ,0.333 ,0.083 ,74
0.860 ,0.333 ,0.075 ,85
0.860 ,0.000 ,0.000 ,77
0.710 ,0.000 ,0.020 ,71
0.860 ,0.000 ,0.000 ,87
0.860 ,0.667 ,0.000 ,71
0.860 ,0.667 ,0.020 ,77
0.860 ,0.167 ,0.869 ,85
0.860 ,0.333 ,0.210 ,88
0.860 ,0.333 ,0.000 ,86
0.860 ,0.000 ,0.000 ,72
1.000 ,0.777 ,0.250 ,83
0.960 ,0.579 ,0.750 ,94
1.000 ,0.661 ,0.750 ,94
1.000 ,0.711 ,0.167 ,88
0.930 ,0.579 ,0.333 ,93
1.000 ,0.562 ,1.000 ,95
1.000 ,0.612 ,0.000 ,82
1.000 ,0.479 ,0.500 ,84
0.960 ,0.496 ,0.583 ,85
0.890 ,0.496 ,0.000 ,68
1.000 ,0.661 ,0.250 ,71
1.000 ,0.645 ,0.000 ,71
0.930 ,0.645 ,0.750 ,79
1.000 ,0.496 ,0.167 ,92
1.000 ,0.512 ,0.750 ,85
1.000 ,0.579 ,0.417 ,87
1.000 ,0.628 ,0.000 ,81
1.000 ,0.678 ,0.667 ,90
1.000 ,0.529 ,0.333 ,68
0.890 ,0.479 ,0.083 ,91
0.930 ,0.595 ,0.250 ,94
1.000 ,0.380 ,0.333 ,62
0.850 ,0.331 ,0.083 ,77
0.960 ,0.595 ,0.333 ,83
1.000 ,0.562 ,0.000 ,77
0.960 ,0.612 ,0.833 ,82
1.000 ,0.645 ,0.833 ,88
1.000 ,0.512 ,0.250 ,83
0.960 ,0.628 ,0.083 ,85
0.960 ,0.579 ,0.500 ,76
0.960 ,0.512 ,0.833 ,91
1.000 ,0.562 ,0.417 ,81
0.930 ,0.512 ,0.250 ,87
1.000 ,0.529 ,0.167 ,84
1.000 ,0.413 ,0.083 ,82
1.000 ,0.678 ,0.500 ,95
1.000 ,0.678 ,0.000 ,82
1.000 ,0.760 ,0.333 ,91
1.000 ,0.413 ,0.000 ,75
0.960 ,0.545 ,0.333 ,72
0.960 ,0.562 ,0.417 ,84
1.000 ,0.744 ,0.750 ,98
1.000 ,0.744 ,0.583 ,94
1.000 ,0.512 ,0.500 ,79
1.000 ,0.744 ,0.167 ,86
1.000 ,0.678 ,0.250 ,85
0.960 ,0.364 ,0.000 ,86
1.000 ,0.430 ,0.083 ,68
1.000 ,0.645 ,0.667 ,94
1.000 ,0.595 ,0.167 ,73
1.000 ,0.612 ,0.583 ,92
1.000 ,0.711 ,0.667 ,70
1.000 ,0.628 ,0.417 ,88
0.960 ,0.446 ,0.583 ,66
1.000 ,0.529 ,0.000 ,74
1.000 ,0.661 ,0.167 ,92
1.000 ,0.694 ,0.500 ,77
1.000 ,0.430 ,0.083 ,88
0.930 ,0.545 ,0.083 ,70
1.000 ,0.562 ,0.167 ,72
0.890 ,0.579 ,0.500 ,74
1.000 ,0.661 ,0.583 ,94
1.000 ,0.694 ,0.333 ,89
1.000 ,0.661 ,0.333 ,82
1.000 ,0.595 ,0.250 ,67
1.000 ,0.364 ,0.000 ,80
0.930 ,0.331 ,0.167 ,60
1.000 ,0.331 ,0.000 ,69
1.000 ,0.678 ,0.083 ,92
1.000 ,0.579 ,0.083 ,59
1.000 ,0.579 ,0.083 ,80
1.000 ,0.562 ,0.083 ,78
1.000 ,0.645 ,0.500 ,80
1.000 ,0.595 ,0.083 ,88
1.000 ,0.512 ,0.250 ,77
1.000 ,0.612 ,0.167 ,72
1.000 ,0.661 ,0.167 ,63
1.000 ,0.612 ,0.083 ,70
1.000 ,0.595 ,0.250 ,75
1.000 ,0.694 ,0.750 ,80
1.000 ,0.612 ,0.250 ,82
1.000 ,0.579 ,0.500 ,78
1.000 ,0.479 ,0.333 ,85
0.960 ,0.545 ,0.250 ,88
1.000 ,0.694 ,0.250 ,93
0.670 ,0.281 ,0.167 ,72
0.960 ,0.612 ,0.083 ,92
1.000 ,0.777 ,0.833 ,85
1.000 ,0.595 ,0.250 ,64
0.960 ,0.661 ,0.167 ,68
1.000 ,0.579 ,0.250 ,88
1.000 ,0.562 ,0.083 ,70
0.960 ,0.628 ,0.417 ,67
1.000 ,0.512 ,0.000 ,87
0.960 ,0.579 ,0.333 ,80
1.000 ,0.661 ,0.833 ,92
1.000 ,0.661 ,0.000 ,79
1.000 ,0.694 ,0.500 ,82
1.000 ,0.529 ,0.000 ,66
1.000 ,0.645 ,0.250 ,91
1.000 ,0.545 ,0.417 ,96
1.000 ,0.562 ,0.417 ,91
1.000 ,0.612 ,0.333 ,81
1.000 ,0.694 ,0.000 ,92
1.000 ,0.529 ,0.250 ,79
0.880 ,0.000 ,1.000 ,98
0.880 ,0.000 ,1.000 ,97
0.440 ,0.000 ,1.000 ,92
0.620 ,0.594 ,0.000 ,96
0.190 ,0.000 ,0.000 ,90
0.190 ,0.656 ,0.000 ,82
0.810 ,0.000 ,1.000 ,92
0.120 ,0.000 ,0.000 ,84
0.810 ,0.000 ,1.000 ,94
0.810 ,0.344 ,1.000 ,91
0.120 ,0.000 ,0.000 ,71
0.190 ,0.000 ,0.000 ,84
0.060 ,0.000 ,0.000 ,82
0.880 ,0.625 ,1.000 ,100
0.880 ,0.688 ,1.000 ,100
0.810 ,0.656 ,1.000 ,99
0.880 ,0.000 ,0.000 ,100
0.880 ,0.344 ,1.000 ,96
0.880 ,0.000 ,0.000 ,97
0.880 ,0.688 ,0.000 ,99
0.880 ,0.688 ,1.000 ,98
0.880 ,0.656 ,1.000 ,94
0.880 ,0.688 ,1.000 ,98
0.880 ,0.000 ,1.000 ,97
0.810 ,0.000 ,1.000 ,97
0.750 ,0.000 ,0.000 ,98
0.880 ,0.000 ,1.000 ,94
0.880 ,0.563 ,0.000 ,97
0.880 ,0.656 ,0.000 ,95
0.060 ,0.000 ,0.000 ,90
0.190 ,0.000 ,0.000 ,90
0.190 ,0.000 ,0.000 ,97
0.060 ,0.000 ,0.000 ,92
0.690 ,0.000 ,0.000 ,99
0.880 ,0.000 ,1.000 ,100
0.880 ,0.000 ,1.000 ,99
0.380 ,0.000 ,0.000 ,82
0.250 ,0.000 ,0.000 ,89
0.560 ,0.000 ,0.000 ,91
0.880 ,0.000 ,1.000 ,97
0.880 ,0.000 ,0.000 ,94
0.880 ,0.000 ,1.000 ,98
0.880 ,0.000 ,0.000 ,92
0.880 ,0.000 ,0.000 ,95
0.880 ,0.000 ,0.000 ,99
0.520 ,,,59
0.770 ,,,62
0.840 ,,,70
0.810 ,,,64
0.840 ,,,65
0.840 ,,,86
0.770 ,,,61
0.840 ,,,76
0.840 ,,,69
0.770 ,,,72
0.680 ,,,59
0.840 ,,,67
0.810 ,,,71
0.840 ,,,90
0.840 ,,,73
0.840 ,,,61
0.770 ,,,61
0.840 ,,,78
0.840 ,,,71
0.840 ,,,91
0.580 ,,,60
0.840 ,,,75
0.550 ,,,59
0.840 ,,,76
0.840 ,,,77
0.770 ,,,63
0.810 ,,,60
0.840 ,,,67
0.840 ,,,66
0.840 ,,,66
0.840 ,,,84
0.810 ,,,66
0.810 ,,,60
0.840 ,,,75
0.810 ,,,75
0.810 ,,,73
0.840 ,,,83
0.840 ,,,68
0.840 ,,,64
0.840 ,,,71
0.840 ,,,63
0.740 ,,,64
0.770 ,,,58
0.840 ,,,63
0.740 ,,,66
0.840 ,,,73
0.710 ,,,65
0.840 ,,,66
0.810 ,,,72
0.810 ,,,66
0.840 ,,,71
0.770 ,,,67
0.840 ,,,76
0.810 ,,,93
0.810 ,,,83
0.840 ,,,77
0.810 ,,,76
0.770 ,,,59
0.840 ,,,74
0.770 ,,,72
0.840 ,,,77
0.840 ,,,61
0.810 ,,,80
0.770 ,,,81
0.810 ,,,88
0.840 ,,,76
0.840 ,,,68
0.840 ,,,64
0.810 ,,,65
0.840 ,,,90
0.770 ,,,59
0.810 ,,,59
0.810 ,,,72
0.840 ,,,61
0.810 ,,,81
0.770 ,,,59
0.550 ,,,59
0.810 ,,,62
0.840 ,,,59
0.810 ,,,68
0.840 ,,,80
0.840 ,,,80
0.840 ,,,76
0.840 ,,,71
0.840 ,,,68
0.710 ,,,59
1.000 ,,,63
0.620 ,,,59
1.000 ,,,80
0.960 ,,,92
0.880 ,,,59
0.960 ,,,59
1.000 ,,,85
1.000 ,,,79
1.000 ,,,90
0.770 ,,,63
1.000 ,,,59
1.000 ,,,82
1.000 ,,,69
0.960 ,,,63
0.960 ,,,69
1.000 ,,,65
0.960 ,,,76
1.000 ,,,77
0.850 ,,,59
0.620 ,,,59
0.960 ,,,81
0.960 ,,,86
0.880 ,,,89
0.880 ,,,67
0.960 ,,,86
1.000 ,,,86
1.000 ,,,87
1.000 ,,,67
1.000 ,,,82
0.920 ,,,76
0.810 ,,,81
0.960 ,,,81
1.000 ,,,77
1.000 ,,,74
1.000 ,,,77
0.960 ,,,76
1.000 ,,,64
1.000 ,,,81
0.810 ,,,59
0.920 ,,,94
0.580 ,,,75
1.000 ,,,90
0.880 ,,,84
0.770 ,,,60
0.920 ,,,78
1.000 ,,,71
1.000 ,,,75
1.000 ,,,82
0.880 ,,,68
1.000 ,,,89
0.850 ,,,82
1.000 ,,,81
1.000 ,,,96
0.880 ,,,64
0.620 ,,,59
1.000 ,,,79
0.920 ,,,59
0.920 ,,,79
0.960 ,,,59
1.000 ,,,71
1.000 ,,,73
0.960 ,,,87
1.000 ,,,83
1.000 ,,,70
1.000 ,,,68
1.000 ,,,61
0.960 ,,,78
1.000 ,,,81
1.000 ,,,68
1.000 ,,,77
1.000 ,,,71
0.880 ,,,69
1.000 ,,,73
1.000 ,,,74
1.000 ,,,67
1.000 ,,,63
1.000 ,,,79
0.650 ,,,59
0.580 ,,,59
0.920 ,,,75
1.000 ,,,64
0.920 ,,,77
0.920 ,,,76
0.850 ,,,59
0.730 ,,,86
1.000 ,,,73
0.920 ,,,79
1.000 ,,,91
0.960 ,,,74
0.920 ,,,59
0.870 ,,,60
0.870 ,,,59
0.870 ,,,59
0.730 ,,,70
0.800 ,,,59
0.730 ,,,59
0.330 ,,,59
0.870 ,,,59
0.870 ,,,59
0.800 ,,,59
0.870 ,,,60
0.870 ,,,59
0.870 ,,,80
0.800 ,,,59
0.330 ,,,59
0.870 ,,,59
0.600 ,,,59
0.730 ,,,61
0.730 ,,,59
0.600 ,,,59
0.870 ,,,59
0.870 ,,,59
0.800 ,,,59
0.870 ,,,59
0.870 ,,,59
0.800 ,,,74
0.870 ,,,59
0.130 ,,,59
0.870 ,,,59
0.870 ,,,59
0.870 ,,,59
0.800 ,,,60
0.870 ,,,63
0.330 ,,,59
0.870 ,,,61
0.870 ,,,59
0.870 ,,,73
0.870 ,,,63
0.870 ,,,59
0.870 ,,,59
0.870 ,,,59
0.730 ,,,62
0.870 ,,,59
0.870 ,,,77
0.870 ,,,72
0.870 ,,,63
0.870 ,,,59
0.800 ,,,59
0.870 ,,,59
0.730 ,,,59
0.870 ,,,59
0.870 ,,,72
0.730 ,,,59
0.800 ,,,68
0.870 ,,,61
0.800 ,,,59
0.870 ,,,77
0.800 ,,,85
0.870 ,,,86
0.600 ,,,70
0.870 ,,,59
0.600 ,,,59
0.870 ,,,62
0.870 ,,,59
0.870 ,,,59
0.870 ,,,59
0.600 ,,,59
0.530 ,,,59
0.870 ,,,80
0.730 ,,,66
0.870 ,,,59
0.470 ,,,59
1.000 ,,,65
0.950 ,,,62
0.640 ,,,67
0.910 ,,,70
0.950 ,,,71
1.000 ,,,59
1.000 ,,,75
0.910 ,,,77
0.950 ,,,80
1.000 ,,,66
0.910 ,,,59
0.590 ,,,59
0.770 ,,,59
0.950 ,,,91
1.000 ,,,80
0.950 ,,,75
0.820 ,,,69
1.000 ,,,73
0.860 ,,,74
1.000 ,,,79
0.950 ,,,74
0.950 ,,,64
1.000 ,,,73
0.730 ,,,59
1.000 ,,,76
1.000 ,,,76
0.910 ,,,71
0.860 ,,,63
0.860 ,,,61
1.000 ,,,82
0.910 ,,,81
0.820 ,,,59
0.860 ,,,65
0.950 ,,,71
1.000 ,,,78
0.950 ,,,60
0.950 ,,,59
0.860 ,,,59
1.000 ,,,77
0.910 ,,,59
1.000 ,,,62
0.950 ,,,59
0.950 ,,,59
0.950 ,,,59
1.000 ,,,62
0.950 ,,,68
0.950 ,,,67
1.000 ,,,67
1.000 ,,,63
0.910 ,,,65
1.000 ,,,59
0.820 ,,,59
1.000 ,,,76
1.000 ,,,59
0.910 ,,,59
0.910 ,,,59
1.000 ,,,64
0.770 ,,,69
0.910 ,,,59
1.000 ,,,69
1.000 ,,,59
1.000 ,,,59
1.000 ,,,68
0.820 ,,,60
1.000 ,,,59
0.950 ,,,64
1.000 ,,,65
0.950 ,,,78
1.000 ,,,70
0.860 ,,,74
1.000 ,,,87
1.000 ,,,59
0.680 ,0.200 ,0.167 ,77
0.790 ,0.800 ,0.167 ,90
0.890 ,0.800 ,0.667 ,95
0.930 ,0.200 ,0.667 ,75
0.860 ,1.000 ,0.167 ,91
0.640 ,0.400 ,0.000 ,59
0.890 ,1.000 ,0.833 ,94
0.460 ,0.000 ,0.000 ,79
0.890 ,0.000 ,0.667 ,93
0.890 ,1.000 ,0.333 ,91
0.790 ,0.200 ,0.833 ,70
0.890 ,0.200 ,0.167 ,86
0.790 ,0.200 ,0.000 ,66
0.250 ,0.000 ,0.000 ,59
0.070 ,0.000 ,0.000 ,72
0.820 ,0.600 ,0.333 ,65
0.250 ,0.000 ,0.000 ,63
0.640 ,0.000 ,0.000 ,63
0.930 ,0.800 ,0.000 ,83
0.790 ,0.400 ,0.167 ,59
0.890 ,0.600 ,0.167 ,70
0.820 ,0.000 ,0.667 ,91
0.680 ,0.600 ,0.000 ,59
0.890 ,0.600 ,0.167 ,77
0.860 ,0.800 ,0.000 ,62
0.860 ,0.600 ,0.167 ,78
0.930 ,0.400 ,0.333 ,78
0.640 ,0.400 ,0.167 ,68
0.930 ,1.000 ,0.000 ,74
0.930 ,1.000 ,0.000 ,87
0.930 ,0.800 ,0.833 ,71
0.500 ,0.000 ,0.000 ,70
0.860 ,0.000 ,0.000 ,86
0.750 ,0.400 ,0.167 ,59
0.750 ,0.400 ,0.167 ,59
0.500 ,0.000 ,0.000 ,86
0.430 ,0.000 ,0.000 ,59
0.890 ,0.000 ,0.333 ,62
0.820 ,0.200 ,0.000 ,88
0.140 ,0.000 ,0.000 ,91
0.820 ,0.000 ,0.000 ,59
0.930 ,0.800 ,0.167 ,79
0.680 ,0.000 ,0.000 ,61
0.750 ,0.200 ,0.000 ,59
0.710 ,0.000 ,0.000 ,68
0.290 ,0.000 ,0.000 ,63
0.860 ,0.000 ,0.667 ,59
0.890 ,0.000 ,0.000 ,80
0.820 ,0.000 ,0.000 ,79
0.890 ,0.000 ,0.167 ,91
0.820 ,0.000 ,0.167 ,91
0.820 ,0.000 ,0.000 ,86
0.790 ,0.600 ,0.000 ,80
0.000 ,0.000 ,0.000 ,79
0.790 ,0.000 ,0.000 ,71
0.610 ,0.600 ,0.167 ,72
0.890 ,0.800 ,0.167 ,85
0.890 ,0.600 ,0.833 ,82
0.890 ,,,77
0.860 ,,,82
0.750 ,,,70
0.860 ,,,59
0.860 ,,,64
0.820 ,,,77
0.820 ,,,78
0.790 ,,,70
0.640 ,,,75
0.890 ,,,59
0.790 ,,,63
0.860 ,,,75
0.820 ,,,82
0.790 ,,,59
0.640 ,,,71
0.820 ,,,60
0.680 ,,,70
0.860 ,,,70
