到课率,习题正确率,预习率,成绩
0.920 ,0.470 ,0.949 ,71
0.920 ,0.250 ,0.641 ,68
0.850 ,0.530 ,0.812 ,91
0.850 ,0.420 ,0.590 ,71
0.850 ,0.390 ,0.752 ,70
0.850 ,0.420 ,0.991 ,87
0.770 ,0.360 ,0.889 ,71
0.920 ,0.190 ,0.675 ,78
0.850 ,0.500 ,0.846 ,77
0.850 ,0.420 ,0.786 ,75
0.920 ,0.330 ,0.786 ,72
0.850 ,0.190 ,0.453 ,66
0.920 ,0.420 ,0.590 ,74
0.850 ,0.250 ,0.444 ,67
0.850 ,0.140 ,0.684 ,72
0.920 ,0.080 ,0.513 ,73
0.920 ,0.280 ,0.667 ,65
0.920 ,0.580 ,0.821 ,82
0.920 ,0.330 ,0.632 ,66
0.920 ,0.140 ,0.650 ,71
0.850 ,0.420 ,0.735 ,81
0.920 ,0.500 ,0.940 ,72
0.850 ,0.470 ,0.855 ,80
0.920 ,0.250 ,0.795 ,65
0.920 ,0.360 ,0.632 ,69
0.920 ,0.470 ,0.855 ,79
0.920 ,0.250 ,0.744 ,71
0.850 ,0.170 ,0.632 ,66
0.920 ,0.500 ,0.658 ,73
0.920 ,0.220 ,0.684 ,77
0.920 ,0.390 ,0.915 ,69
0.920 ,0.360 ,0.504 ,77
0.850 ,0.420 ,0.735 ,70
0.920 ,0.330 ,0.778 ,68
0.920 ,0.250 ,0.624 ,66
0.920 ,0.330 ,0.496 ,67
0.920 ,0.610 ,0.684 ,73
0.920 ,0.530 ,1.000 ,71
0.790 ,0.000 ,0.167 ,75
0.860 ,0.778 ,0.333 ,71
0.720 ,0.556 ,0.167 ,82
0.310 ,0.000 ,0.000 ,61
0.760 ,0.444 ,0.000 ,63
0.620 ,0.000 ,0.000 ,59
0.970 ,0.111 ,0.833 ,95
0.660 ,0.778 ,0.167 ,85
0.860 ,0.000 ,0.333 ,83
0.590 ,0.333 ,0.000 ,74
0.900 ,0.000 ,0.000 ,70
0.930 ,0.000 ,0.000 ,63
0.830 ,0.000 ,0.000 ,86
0.620 ,0.778 ,0.000 ,65
0.760 ,0.111 ,0.167 ,84
0.830 ,0.111 ,0.000 ,82
0.860 ,0.667 ,0.167 ,69
0.760 ,0.667 ,0.000 ,85
0.790 ,0.778 ,0.000 ,68
0.720 ,0.222 ,0.833 ,78
0.550 ,0.889 ,0.000 ,77
0.550 ,0.444 ,0.667 ,66
0.210 ,0.000 ,0.000 ,61
0.480 ,0.889 ,0.000 ,72
0.900 ,0.444 ,0.000 ,90
0.620 ,0.111 ,0.167 ,86
0.930 ,0.111 ,0.167 ,80
0.970 ,1.000 ,0.167 ,74
0.480 ,0.000 ,0.333 ,59
0.660 ,0.111 ,0.333 ,59
0.860 ,0.444 ,0.333 ,77
0.620 ,1.000 ,0.833 ,80
0.970 ,1.000 ,0.000 ,79
0.520 ,0.444 ,0.000 ,81
0.900 ,0.444 ,1.000 ,79
